name,categories,all_reviews,developer,publisher,day,year,price,popu_tags,url
Among Us,"Online PvP,LAN PvP,Online Co-op,LAN Co-op,Cross-Platform Multiplayer",224878 95,Innersloth,Innersloth,320,2018,4.99,MultiplayerOnline Co-OpSpaceSocial DeductionSurvivalFunny2DCo-opPsychologicalLocal MultiplayerCartoonyCasualIndieSci-fiColorfulMinigamesLocal Co-OpTop-DownPvPAliens,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_230_150_1
Counter-Strike: Global Offensive,"Steam Workshop,In-App Purchases,Stats",4843904 87,"Valve, Hidden Path Entertainment",Valve,234,2012,0,FPSShooterMultiplayerCompetitiveActionTeam-BasedeSportsTacticalFirst-PersonPvPOnline Co-OpCo-opStrategyMilitaryWarDifficultTradingRealisticFast-PacedModdable,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1
Fall Guys: Ultimate Knockout,"MMO,Online PvP,Online Co-op,In-App Purchases",223725 80,Mediatonic,Devolver Digital,216,2020,19.99,MultiplayerFunnyBattle RoyaleOnline Co-OpFamily FriendlyComedyParty GameCutePhysicsCasualMassively MultiplayerColorful3D PlatformerIndieCo-opActionControllerGreat SoundtrackDifficultLocal Co-Op,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/?snr=1_7_7_230_150_1
Crusader Kings III,"Single-player,Online PvP,Steam Workshop,Steam Cloud",18951 92,Paradox Development Studio,Paradox Interactive,245,2020,49.99,StrategyRPGSimulationMedievalGrand StrategyHistoricalSexual ContentMultiplayerSingleplayerPoliticalDating SimWarNuditySandboxChoices MatterCharacter CustomizationReal-Time with PauseModdableManagementGreat Soundtrack,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_230_150_1
Destiny 2,"Single-player,Online PvP,Online Co-op,In-App Purchases",284689 86,Bungie,Bungie ,274,2019,0,Free to PlayLooter ShooterMultiplayerFPSActionOnline Co-OpAdventureMMORPGShooterSci-fiOpen WorldLootSpaceFirst-PersonGreat SoundtrackCo-opLore-RichMassively MultiplayerAtmosphericSingleplayer,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1
Hades,"Single-player,Captions available,Steam Cloud",41779 98,Supergiant Games,Supergiant Games,261,2020,24.99,Action RoguelikeActionIndieRPGRogueliteHack and SlashDungeon CrawlerGreat SoundtrackRoguelikeSingleplayerMythologyReplay ValueStory RichIsometricAction RPGDifficultHand-drawnAtmosphericEarly AccessPerma Death,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_230_150_1
Sea of Thieves,"Online PvP,Online Co-op,Cross-Platform Multiplayer,In-App Purchases",37159 87,Rare Ltd,Xbox Game Studios,155,2020,39.99,AdventureActionMultiplayerPiratesOpen WorldCo-opSailingPvPOnline Co-OpFirst-PersonExplorationFunnyPvENavalMassively MultiplayerAtmosphericSwordplayGreat SoundtrackFPSSingleplayer,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_230_150_1
Tom Clancy's Rainbow Six® Siege,"Single-player,Online PvP,Online Co-op,In-App Purchases",642418 88,Ubisoft Montreal,Ubisoft,335,2015,19.99,FPSHero ShooterMultiplayerTacticalShooterTeam-BasedActionFirst-PersonCompetitiveCo-opStrategyRealisticOnline Co-OpDestructionPhysicsPsychological HorrorAtmosphericSingleplayerMassively MultiplayerCasual,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1
Dota 2,Steam Workshop,1380115 84,Valve,Valve,190,2013,0,Free to PlayMOBAMultiplayerStrategyeSportsTeam-BasedCompetitiveActionOnline Co-OpPvPDifficultCo-opRTSTower DefenseFantasyRPGCharacter CustomizationReplay ValueAction RPGSimulation,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1
The Elder Scrolls® Online,MMO,69515 82,Zenimax Online Studios,Bethesda Softworks,94,2014,19.99,RPGMMORPGOpen WorldMassively MultiplayerMultiplayerFantasyAdventureFirst-PersonExplorationStory RichThird PersonMagicActionCo-opAtmosphericGreat SoundtrackAction RPGSingleplayerSandboxCharacter Customization,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1
Path of Exile,"Single-player,MMO,Online PvP,In-App Purchases",143686 93,Grinding Gear Games,Grinding Gear Games,296,2013,0,Free to PlayAction RPGHack and SlashRPGMultiplayerMassively MultiplayerLootMMORPGActionFantasyAdventureDungeon CrawlerOnline Co-OpIndieCo-opDark FantasyCharacter CustomizationPvEInventory ManagementFishing,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_230_150_1
Borderlands 3,"Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Cloud",39702 82,Gearbox Software,2K,73,2020,59.99,RPGActionOnline Co-OpLooter ShooterFPSShooterOpen WorldMultiplayerCo-opLootCo-op CampaignGoreSingleplayerViolentFirst-PersonAdventureNudityGreat SoundtrackEpicComedy,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_230_150_1
Dead by Daylight,"Online PvP,Online Co-op,Steam Cloud",274935 82,Behaviour Interactive Inc.,Behaviour Interactive Inc.,166,2016,19.99,HorrorSurvival HorrorMultiplayerOnline Co-OpSurvivalStealthGoreBloodThird PersonCo-opTeam-BasedFirst-PersonViolentActionAtmosphericPsychological HorrorStrategyComedyMatureDifficult,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1
Microsoft Flight Simulator,"Single-player,In-App Purchases",14952 72,Asobo Studio,Xbox Game Studios,230,2020,59.99,SimulationFlightOpen WorldMultiplayerRealisticAtmosphericSingleplayerAdventurePhysicsReal-TimeColorfulFamily FriendlyLogicTrackIRLife SimSurrealVRBeautifulAuto BattlerShort,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator/?snr=1_7_7_230_150_1
FINAL FANTASY XIV Online,"Single-player,MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer",24626 86,Square Enix,Square Enix,49,2014,19.99,MMORPGRPGMassively MultiplayerFantasyGreat SoundtrackJRPGOpen WorldCharacter CustomizationStory RichAnimeMultiplayerAdventureMagicActionAtmosphericCo-opAction RPGSingleplayerOnline Co-OpFemale Protagonist,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_1
Black Desert Online,"MMO,Online PvP,Online Co-op,In-App Purchases",27208 75,Pearl Abyss,Kakao Games Europe B.V.,144,2017,9.99,MMORPGMassively MultiplayerRPGOpen WorldCharacter CustomizationAdventureFantasyActionPvPMultiplayerStrategySandboxSimulationThird PersonHack and SlashCo-opFishingFemale ProtagonistViolentPvE,https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_7_7_230_150_1
Metro Exodus,"Single-player,Steam Cloud",27784 85,4A Games,Deep Silver ,45,2019,39.99,Post-apocalypticActionAtmosphericFPSStory RichOpen WorldSingleplayerFirst-PersonSurvivalShooterHorrorAdventureStealthExplorationGreat SoundtrackSurvival HorrorViolentSci-fiPsychological HorrorGore,https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_230_150_1
Conan Exiles,"Single-player,Online PvP,Online Co-op,Steam Workshop",41038 77,Funcom,Funcom,128,2018,39.99,SurvivalOpen WorldBuildingNudityCraftingOpen World Survival CraftMultiplayerRPGSandboxMassively MultiplayerActionAdventureOnline Co-OpViolentExplorationSingleplayerPvPCo-opFantasyGore,https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_230_150_1
War Thunder,"Single-player,MMO,Cross-Platform Multiplayer,In-App Purchases",178059 80,Gaijin Entertainment,Gaijin Distribution KFT,227,2013,0,Free to PlayWorld War IISimulationMultiplayerWarFlightTanksMilitaryMassively MultiplayerActionRealisticHistoricalShooterTeam-BasedCo-opStrategyArcadeFPSOpen WorldTrackIR,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1
Deep Rock Galactic,"Single-player,Online Co-op,Captions available,Steam Cloud",42347 96,Ghost Ship Games,Coffee Stain Publishing,134,2020,29.99,Co-opMultiplayerClass-BasedFPSActionLootPvELooter ShooterFirst-PersonShooterCombatOnline Co-OpAtmosphericProcedural GenerationAction RoguelikeDarkSci-fiExplorationSingleplayerSurvival,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_230_150_1
Rust,"MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Workshop,In-App Purchases,Stats",375523 84,Facepunch Studios,Facepunch Studios,39,2018,39.99,SurvivalCraftingMultiplayerOpen WorldOpen World Survival CraftBuildingSandboxPvPAdventureFirst-PersonActionFPSNudityCo-opShooterIndieOnline Co-OpEarly AccessPost-apocalypticSimulation,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1
Among Us - Mini Crewmate Bundle,"Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Downloadable Content,In-App Purchases",991 97,Innersloth,,158,2019,2.99,CasualCuteMultiplayerMystery,https://store.steampowered.com/app/971996/Among_Us__Mini_Crewmate_Bundle/?snr=1_7_7_230_150_1
Team Fortress 2,"Cross-Platform Multiplayer,Captions available,Steam Workshop,In-App Purchases,Stats,Includes level editor",714150 94,Valve,Valve,283,2007,0,Free to PlayHero ShooterMultiplayerFPSShooterActionClass-BasedTeam-BasedFunnyFirst-PersonOnline Co-OpCartoonyCompetitiveTradingCo-opComedyRobotsTacticalCartoonCrafting,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_1
Halo: The Master Chief Collection,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op",101597 91,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,337,2019,39.99,Great SoundtrackFPSClassicMultiplayerStory RichSci-fiCo-opFirst-PersonEpicActionShooterLore-RichAliensSingleplayerBeautifulSpaceAtmosphericAdventureHorrorOnline Co-Op,https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_230_150_1
Phantasy Star Online 2,"Online Co-op,Cross-Platform Multiplayer,In-App Purchases",5378 83,SEGA,SEGA,218,2020,0,Free to PlayActionRPGMMORPGAnimeMultiplayerJRPGOnline Co-OpCharacter CustomizationSci-fiMassively MultiplayerAction RPGFantasyMechsCuteCo-opGreat SoundtrackFarming SimMemesHentai,https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2/?snr=1_7_7_230_150_1
Red Dead Redemption 2,"Single-player,Online PvP,Online Co-op,In-App Purchases",102276 78,Rockstar Games,Rockstar Games,339,2019,59.99,AdventureActionOpen WorldWesternStory RichMultiplayerShooterThird-Person ShooterRealisticAtmosphericSingleplayerHorsesSandboxBeautifulThird PersonGreat SoundtrackMatureFirst-PersonGoreFPS,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_230_150_1
SMITE®,,73627 80,Titan Forge Games,Hi-Rez Studios,251,2015,0,Free to PlayMOBAMultiplayerActionThird PersonMythologyTeam-BasedCompetitiveStrategyPvPCo-opMassively MultiplayereSportsRPGMMORPGAdventureFunnyCasualSurvivalNudity,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_230_150_1
Monster Hunter: World,"Single-player,Steam Cloud,Stats,Steam Leaderboards",166035 84,CAPCOM Co.,CAPCOM Co.,221,2018,29.99,Co-opMultiplayerActionOpen WorldRPGThird PersonCharacter CustomizationAdventureFantasySingleplayerDifficultAction RPGExplorationGreat SoundtrackReplay ValueAtmosphericHack and SlashJRPGSouls-likeMMORPG,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_230_150_1
No Man's Sky,"Single-player,Online PvP,Online Co-op,Steam Cloud",138767 64,Hello Games,Hello Games,225,2016,59.99,Open WorldOpen World Survival CraftSpaceExplorationSci-fiSurvivalProcedural GenerationFirst-PersonAdventureSingleplayerSandboxAtmosphericCraftingSpace SimMultiplayerIndieActionSimulationFPSGreat Soundtrack,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_230_150_1
Risk of Rain 2,"Single-player,Online PvP,Online Co-op,Steam Cloud,Steam Leaderboards",77199 96,Hopoo Games,Gearbox Publishing,224,2020,24.99,Third-Person ShooterAction RoguelikeMultiplayerActionRogueliteCo-opLooter ShooterLootRoguelikeShooterOnline Co-OpSurvivalDifficultIndieThird PersonSingleplayerSoundtrackEarly AccessGreat SoundtrackBullet Hell,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_230_150_1
Grounded,"Single-player,Online Co-op,Steam Cloud",9678 87,Obsidian Entertainment,Xbox Game Studios,210,2020,29.99,AdventureSurvivalActionMultiplayerCraftingCo-opBase BuildingHorrorEarly AccessExplorationFirst-PersonOpen World Survival CraftOpen WorldSingleplayerOnline Co-OpRPGSandboxThird PersonFunnyCute,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_230_150_1
MORDHAU,"Online PvP,Online Co-op,Steam Cloud,Stats",64064 83,Triternion,Triternion,119,2019,29.99,MultiplayerMedievalFirst-PersonOnline Co-OpActionPvPGoreSwordplayFightingPvETeam-BasedThird PersonCharacter CustomizationHack and SlashRealisticCompetitiveFPSIndieHistoricalSurvival,https://store.steampowered.com/app/629760/MORDHAU/?snr=1_7_7_230_150_1
Horizon Zero Dawn™ Complete Edition,"Single-player,Steam Cloud",24736 71,Guerrilla,PlayStation Mobile,220,2020,49.99,AdventureOpen WorldFemale ProtagonistActionRPGSingleplayerStory RichPost-apocalypticRobotsSci-fiExplorationThird PersonBeautifulAtmosphericGreat SoundtrackAction RPGArcheryHuntingDinosaursMultiplayer,https://store.steampowered.com/app/1151640/Horizon_Zero_Dawn_Complete_Edition/?snr=1_7_7_230_150_1
DayZ,"Online PvP,Steam Workshop,Steam Cloud",202583 66,Bohemia Interactive,Bohemia Interactive,347,2018,44.99,SurvivalZombiesMultiplayerOpen WorldActionPvPShooterMassively MultiplayerHorrorSimulationEarly AccessPost-apocalypticFPSFirst-PersonSurvival HorrorSandboxAdventureCo-opIndieAtmospheric,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_230_150_1
STAR WARS™: The Old Republic™,"MMO,In-App Purchases",11459 87,BioWare,Electronic Arts,354,2011,0,Free to PlayMMORPGMultiplayerRPGMassively MultiplayerOpen WorldStory RichCharacter CustomizationChoices MatterSci-fiAdventureActionPvPThird PersonAtmosphericSpaceParty-Based RPGAction RPGCRPGGreat Soundtrack,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_230_150_1
The Elder Scrolls V: Skyrim Special Edition,"Single-player,Steam Cloud",50369 92,Bethesda Game Studios,Bethesda Softworks,301,2016,39.99,Open WorldRPGAdventureSingleplayerFantasyCharacter CustomizationDragonsModdableStory RichMagicFirst-PersonActionAtmosphericGreat SoundtrackThird PersonStealthClassicRemakeFemale ProtagonistWalking Simulator,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_230_150_1
PGA TOUR 2K21,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,In-App Purchases",1221 80,HB Studios Multimedia Ltd.,2K,233,2020,59.99,SportsSimulationGolfLocal MultiplayerTurn-Based,https://store.steampowered.com/app/1016120/PGA_TOUR_2K21/?snr=1_7_7_230_150_1
ARK: Survival Evolved,"Single-player,MMO,Steam Workshop,Steam Cloud,Includes level editor",289957 78,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,239,2017,49.99,Open World Survival CraftSurvivalOpen WorldMultiplayerDinosaursCraftingBuildingAdventureBase BuildingCo-opActionFirst-PersonSandboxMassively MultiplayerEarly AccessSingleplayerRPGDragonsSci-fiIndie,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_230_150_1
Satisfactory,"Single-player,Online Co-op,Cross-Platform Multiplayer,Steam Cloud",21735 96,Coffee Stain Studios,Coffee Stain Publishing,160,2020,29.99,AutomationBase BuildingCo-opCraftingOpen WorldResource ManagementMultiplayerBuildingExplorationSandboxAdventureStrategySimulationEarly AccessIndieSurvivalOpen World Survival CraftFirst-PersonSci-fiSingleplayer,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_230_150_1
Cities: Skylines,"Single-player,Steam Workshop,Steam Cloud,Includes level editor",100100 92,Colossal Order Ltd.,Paradox Interactive,69,2015,29.99,City BuilderSimulationBuildingStrategyManagementSandboxSingleplayerModdableEconomyResource ManagementRealisticModReplay ValueCasualFamily FriendlyReal-Time with PauseModernGreat SoundtrackFunnyAction,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_230_150_3
Wallpaper Engine,"Steam Workshop,Includes level editor",222007 98,Wallpaper Engine Team,Wallpaper Engine Team,320,2018,3.99,UtilitiesMatureSoftwareAnimeDesign & IllustrationAnimation & ModelingMemesEarly AccessCuteFunnyCasualActionSingleplayerMusicSandboxIndieNSFWPhoto EditingGame DevelopmentHorror,https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_230_150_3
Call of Duty®: Black Ops III,"Single-player,Steam Workshop,Steam Leaderboards",38523 76,"Treyarch, Aspyr",Activision,309,2015,59.99,MultiplayerFPSZombiesShooterActionFirst-PersonCo-opSingleplayerFuturisticIlluminatiHero ShooterRobotsSci-fiGoreGreat SoundtrackStory RichAtmosphericQuick-Time EventsParkourSimulation,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_230_150_3
RimWorld,"Single-player,Steam Workshop,Steam Cloud",70393 98,Ludeon Studios,Ludeon Studios,290,2018,34.99,Colony SimBase BuildingSurvivalStrategySandboxManagementBuildingSimulationSingleplayerOpen WorldSci-fiCraftingModdable2DIndieGreat SoundtrackAtmosphericSpaceActionEarly Access,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_230_150_3
Fallout 76,"MMO,Online PvP,Online Co-op,In-App Purchases",11560 75,Bethesda Game Studios,Bethesda Softworks,105,2020,39.99,RPGDark ComedyOpen WorldPost-apocalypticMultiplayerCapitalismSurvivalBase BuildingHorrorShooterCo-opGoreViolentEarly AccessMMORPGExplorationFPSAtmosphericGreat SoundtrackSingleplayer,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_230_150_3
World of Warships,"MMO,Online PvP,Online Co-op,In-App Purchases",64597 80,Wargaming Group Limited,Wargaming Group Limited,319,2017,0,Naval CombatNavalFree to PlayMultiplayerWorld War IIPvPMilitaryTacticalTeam-BasedStrategyWarOnline Co-OpHistoricalMassively MultiplayerRealisticCo-opShooterSimulationActionPvE,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_230_150_3
Total War: WARHAMMER II,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Steam Workshop",51645 92,"CREATIVE ASSEMBLY, Feral Interactive",SEGA,271,2017,Check store page,StrategyFantasyTurn-Based StrategyRTSGrand StrategyWarMultiplayerGames WorkshopActionTurn-BasedSingleplayerDark FantasyCo-opTacticalReal Time TacticsAtmosphericStory RichDinosaursGreat SoundtrackWarhammer 40K,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_3
PLAYERUNKNOWN'S BATTLEGROUNDS,"Online PvP,Stats",1316559 52,PUBG Corporation,PUBG Corporation,355,2017,29.99,SurvivalShooterMultiplayerBattle RoyaleFPSPvPThird-Person ShooterActionOnline Co-OpTacticalCo-opFirst-PersonStrategyEarly AccessCompetitiveThird PersonTeam-BasedDifficultSimulationStealth,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_230_150_3
Tabletop Simulator,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Workshop,Steam Cloud,Includes level editor",20839 95,Berserk Games,Berserk Games,156,2015,19.99,TabletopBoard GameSimulationMultiplayerSandboxCard GamePhysicsCasualStrategyModdableVRIndieRPGOnline Co-OpCo-opSingleplayerChessRelaxingStrategy RPGGambling,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_230_150_3
Wasteland 3,"Single-player,Online Co-op,Steam Cloud",4567 80,inXile Entertainment,inXile Entertainment,240,2020,59.99,RPGStrategyTurn-Based CombatPost-apocalypticCo-opViolentGoreSexual ContentIsometricCRPGTurn-BasedTurn-Based TacticsSingleplayerCharacter CustomizationStory RichParty-Based RPGChoices MatterTacticalGreat Soundtrack,https://store.steampowered.com/app/719040/Wasteland_3/?snr=1_7_7_230_150_3
Resident Evil 3,"Single-player,Online PvP,Steam Cloud",21372 73,CAPCOM Co.,CAPCOM Co.,93,2020,59.99,ActionZombiesHorrorFemale ProtagonistSurvival HorrorMultiplayerRemakeSingleplayerGoreThird PersonViolentCo-opAtmosphericStory RichThird-Person ShooterClassicAdventureGreat SoundtrackDifficultSexual Content,https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_230_150_3
Stardew Valley,"Single-player,Online Co-op,LAN Co-op,Steam Cloud",229190 97,ConcernedApe,ConcernedApe,57,2016,14.99,Farming SimLife SimRPGPixel GraphicsAgricultureSimulationRelaxingMultiplayerCraftingSandboxIndieBuildingSingleplayerCasualOpen WorldGreat Soundtrack2DCuteDating SimFishing,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_3
Outward,"Single-player,Online Co-op,Shared/Split Screen Co-op,Stats",10148 75,Nine Dots Studio,Deep Silver,85,2019,39.99,RPGOpen WorldSurvivalCo-opOnline Co-OpFantasyAdventureSouls-likeLocal Co-OpSplit ScreenExplorationSingleplayerThird PersonMultiplayerDifficultAtmosphericResource ManagementViolentRealisticModdable,https://store.steampowered.com/app/794260/Outward/?snr=1_7_7_230_150_3
Fallout 4,"Single-player,Steam Cloud",130055 77,Bethesda Game Studios,Bethesda Softworks,313,2015,29.99,Open WorldPost-apocalypticExplorationSingleplayerRPGAtmosphericAdventureShooterFirst-PersonStory RichActionSci-fiFPSAction RPGSandboxGreat SoundtrackThird PersonSurvivalThird-Person ShooterCasual,https://store.steampowered.com/app/377160/Fallout_4/?snr=1_7_7_230_150_3
The Forest,"Single-player,Online Co-op,LAN Co-op,Steam Cloud",174896 94,Endnight Games Ltd,Endnight Games Ltd,120,2018,19.99,Open World Survival CraftSurvivalOpen WorldHorrorCraftingAdventureBuildingSurvival HorrorFirst-PersonActionExplorationSandboxAtmosphericSimulationSingleplayerIndieRealisticGoreEarly AccessZombies,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_230_150_3
Brawlhalla,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer",178583 84,Blue Mammoth Games,Ubisoft,290,2017,0,Free to PlayMultiplayerFighting2D2D FighterActionLocal MultiplayerPlatformerCo-opControllerOnline Co-OpLocal Co-Op4 Player LocalBeat 'em upIndieSingleplayerMassively MultiplayerEarly AccessSurvivalAdventure,https://store.steampowered.com/app/291550/Brawlhalla/?snr=1_7_7_230_150_3
Beat Saber,"Single-player,Steam Leaderboards",37526 96,Beat Games,Beat Games,141,2019,29.99,VRRhythmMusicGreat SoundtrackIndieFast-PacedSingleplayerModdableFirst-PersonDifficultSwordplayActionSportsMemesMultiplayerFuturisticEarly AccessMusic-Based Procedural GenerationAnimeCasual,https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_230_150_3
7 Days to Die,"Single-player,Cross-Platform Multiplayer,Includes level editor",96832 84,The Fun Pimps,The Fun Pimps Entertainment LLC,347,2013,24.99,SurvivalZombiesVoxelPost-apocalypticOpen WorldFPSActionSimulationOpen World Survival CraftSandboxBuildingExplorationMultiplayerOnline Co-OpProcedural GenerationRPGSingleplayerSurvival HorrorCharacter CustomizationEarly Access,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_230_150_3
Terraria,"Single-player,Online PvP,Online Co-op,Steam Cloud",471139 97,Re-Logic,Re-Logic,136,2011,9.99,Open World Survival CraftSandboxSurvival2DAdventureMultiplayerCraftingBuildingPixel GraphicsExplorationCo-opOpen WorldIndieActionOnline Co-OpRPGSingleplayerPlatformerReplay ValueAtmospheric,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_230_150_3
Gloomhaven,"Single-player,Online Co-op,Steam Workshop,Steam Cloud",2139 85,Flaming Fowl Studios,Asmodee Digital,198,2019,24.99,TabletopCo-opRPGStrategyBoard GameAdventureDungeon CrawlerTurn-BasedTurn-Based StrategyTurn-Based TacticsEarly AccessHex GridSingleplayerMultiplayerTactical RPGReplay ValueRoguelikeDifficult3DOnline Co-Op,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_230_150_3
The Henry Stickmin Collection,"Single-player,Captions available",11036 99,PuffballsUnited,Innersloth,220,2020,14.99,FunnyChoose Your Own AdventureMultiple EndingsMemesClassicComedyPoint & ClickChoices MatterSingleplayer2DHand-drawnFamily FriendlyEpicAdventureActionInteractive FictionParody Old SchoolIndieCasual,https://store.steampowered.com/app/1089980/The_Henry_Stickmin_Collection/?snr=1_7_7_230_150_3
Divinity: Original Sin 2 - Definitive Edition,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Captions available,Steam Workshop,Steam Cloud,Includes level editor",89735 95,Larian Studios,Larian Studios,257,2017,44.99,RPGChoices MatterTurn-Based CombatOpen WorldStory RichCo-op CampaignParty-Based RPGMultiplayerCraftingCharacter CustomizationFantasyCRPGIsometricModdablePvPStrategyTurn-BasedTurn-Based TacticsFemale ProtagonistPerma Death,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_230_150_3
Monster Hunter World: Iceborne,"Single-player,Downloadable Content,Steam Cloud,Stats,Steam Leaderboards",12597 50,CAPCOM Co.,CAPCOM Co.,9,2020,39.99,ActionMultiplayerOpen WorldCo-opHuntingDifficultThird PersonOnline Co-OpSingleplayerAdventureRPGCharacter CustomizationHack and SlashExplorationStory RichJRPGPvEDragons,https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_230_150_4
Raft,"Single-player,Online PvP,Online Co-op,Steam Cloud",60276 90,Redbeet Interactive,Axolot Games,143,2018,19.99,SurvivalOpen World Survival CraftMultiplayerCraftingCo-opOpen WorldBuildingBase BuildingAdventureSandboxOnline Co-OpEarly AccessFirst-PersonSingleplayerSimulationUnderwaterIndieActionStrategyMassively Multiplayer,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_230_150_4
Left 4 Dead 2,"Single-player,Online PvP,Online Co-op,Captions available,Steam Workshop,Steam Cloud,Stats",273335 97,Valve,Valve,320,2009,9.99,ZombiesCo-opFPSMultiplayerShooterActionOnline Co-OpSurvivalHorrorFirst-PersonGoreTeam-BasedSurvival HorrorModdablePost-apocalypticSingleplayerAdventureLocal Co-OpReplay ValueTactical,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_230_150_4
Half-Life: Alyx,"Single-player,Captions available,Steam Workshop,Includes level editor",33089 98,Valve,Valve,83,2020,59.99,VRFPSStory RichShooterHorrorFirst-PersonFemale ProtagonistZombiesActionSci-fiAtmosphericBeautifulSingleplayerPsychological HorrorAdventureAliensFuturisticMemesGreat SoundtrackGore,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_230_150_4
