name,categories,all_reviews,developer,publisher,day,year,price,popu_tags,url
Treasure Hunter Claire,"Single-player,Steam Cloud",1418 91,Acerola,Kagura Games,200,2018,19.99,Sexual ContentNudityRPGRPGMakerAnimeAdventureIndieFemale ProtagonistMatureJRPGFunnyMultiple EndingsHentaiNSFWMemes,https://store.steampowered.com/app/828070/Treasure_Hunter_Claire/?snr=1_7_7_230_150_117
Kingdom: New Lands,"Single-player,Steam Cloud",5735 88,Noio,Raw Fury,222,2016,14.99,StrategyPixel GraphicsIndieSurvivalColony SimBase BuildingSingleplayerTower Defense2DSimulationBuildingMedievalExplorationAdventureFantasySide ScrollerAtmosphericGreat SoundtrackRoguelikeOpen World,https://store.steampowered.com/app/496300/Kingdom_New_Lands/?snr=1_7_7_230_150_117
Home Design 3D,Single-player,919 78,"Anuman Interactive, Koalabs",Anuman Interactive,30,2015,9.99,SimulationDesign & IllustrationSoftwareBuilding,https://store.steampowered.com/app/420000/Home_Design_3D/?snr=1_7_7_230_150_118
Oddworld: Stranger's Wrath HD,Single-player,981 86,Oddworld Inhabitants,Oddworld Inhabitants,354,2010,9.99,AdventureActionWesternSingleplayerClassicStrategyComedyFPSThird PersonAction-AdventureThird-Person ShooterOpen WorldControllerStory RichShooterCult ClassicAtmospheric,https://store.steampowered.com/app/15750/Oddworld_Strangers_Wrath_HD/?snr=1_7_7_230_150_118
Tattletail,Single-player,1781 92,Waygetter Electronics,Little Flag Software,363,2016,4.99,HorrorFirst-PersonSurvival HorrorSingleplayerCute1990'sIndieActionDarkDifficultStory RichSurvivalFunnyRobotsStrategyAdventureAtmosphericGreat SoundtrackFamily FriendlyMemes,https://store.steampowered.com/app/568090/Tattletail/?snr=1_7_7_230_150_118
Sid Meier's Railroads!,Single-player,1549 67,"Firaxis Games, Feral Interactive",2K,289,2006,9.99,StrategyTrainsManagementEconomySimulationSingleplayerMultiplayerReal-Time with PauseClassicCasualBuilding,https://store.steampowered.com/app/7600/Sid_Meiers_Railroads/?snr=1_7_7_230_150_118
PLAYNE : The Meditation Game,"Single-player,Steam Cloud",554 97,Krish Shrikumar,Vismaya,122,2020,14.99,RelaxingSingleplayerStory RichPhilosophicalAtmosphericOpen WorldNatureFirst-PersonSandboxCasualExplorationCinematicSimulationImmersive SimRealisticExperimentalImmersiveWalking SimulatorEducationIndie,https://store.steampowered.com/app/865540/PLAYNE__The_Meditation_Game/?snr=1_7_7_230_150_118
Signal Simulator,"Single-player,Steam Cloud",517 86,Blagovest Penev,Blagovest Penev,119,2018,19.99,SimulationIndieHorrorAliensSpacePsychological HorrorScienceSandboxAtmospheric,https://store.steampowered.com/app/839310/Signal_Simulator/?snr=1_7_7_230_150_118
Gone Home,"Single-player,Captions available,Steam Cloud",11654 76,Fullbright,Fullbright,227,2013,14.99,Walking SimulatorShortIndieExplorationAtmosphericFirst-PersonStory RichNarrativeLGBTQFemale ProtagonistAdventureSingleplayerGreat SoundtrackMysteryInteractive Fiction1990'sEmotionalNarrationRomancePoint & Click,https://store.steampowered.com/app/232430/Gone_Home/?snr=1_7_7_230_150_118
DRAGON BALL XENOVERSE,"Single-player,Steam Cloud,Steam Leaderboards",11548 88,DIMPS,BANDAI NAMCO Entertainment,57,2015,39.99,AnimeFightingActionMultiplayerCharacter CustomizationCo-opAdventureSingleplayerRPGOnline Co-OpThird PersonFantasyDragonsBeat 'em upControllerOpen WorldAction RPGFunnyFast-PacedLocal Co-Op,https://store.steampowered.com/app/323470/DRAGON_BALL_XENOVERSE/?snr=1_7_7_230_150_118
Welcome to the Game,Single-player,1674 83,Reflect Studios,Reflect Studios,167,2016,4.99,HorrorHackingSimulationPsychological HorrorIndiePuzzleGoreSexual ContentNudityDifficultViolentSingleplayerDarkIlluminatiFirst-PersonAtmosphericSurvival HorrorStrategy,https://store.steampowered.com/app/485380/Welcome_to_the_Game/?snr=1_7_7_230_150_119
Robocraft,"MMO,Online PvP,Online Co-op,In-App Purchases",116818 72,Freejam,Freejam,236,2017,0,Free to PlayRobotsBuildingMultiplayerActionShooterPvPMassively MultiplayerSandboxCraftingThird-Person ShooterSci-fiStrategySimulationEarly AccessIndieOpen WorldFunnyAdventureRPG,https://store.steampowered.com/app/301520/Robocraft/?snr=1_7_7_230_150_119
The Witch's House MV,Single-player,789 97,Fummy,DANGEN Entertainment,303,2018,14.99,HorrorRPGMakerIndieRPGAdventure2DFemale ProtagonistSingleplayerStory RichCasualPixel GraphicsDarkClassicAnimePsychological HorrorPuzzleSurvival HorrorAtmosphericGreat SoundtrackCute,https://store.steampowered.com/app/885810/The_Witchs_House_MV/?snr=1_7_7_230_150_119
Kingdom Rush  - Tower Defense,"Single-player,Steam Cloud",5107 96,Ironhide Game Studio,Ironhide Game Studio,6,2014,9.99,Tower DefenseStrategyIndieSingleplayerFantasyActionTactical2DCasualAdventureTouch-FriendlyDifficultComedyFunnyRPGMedievalCartoonCartoonyColorfulAddictive,https://store.steampowered.com/app/246420/Kingdom_Rush___Tower_Defense/?snr=1_7_7_230_150_119
Blazing Beaks,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Workshop,Steam Cloud,Steam Leaderboards",755 85,Applava,Applava,130,2019,14.99,Action RoguelikeRogueliteRoguelikePixel GraphicsActionTwin Stick ShooterTop-Down ShooterIndieLocal Co-OpCo-opTop-DownLocal MultiplayerShooter2DBullet HellFunnyCo-op CampaignAddictiveMultiplayerRoguevania,https://store.steampowered.com/app/585710/Blazing_Beaks/?snr=1_7_7_230_150_119
Oxenfree,"Single-player,Captions available,Steam Cloud",6410 92,Night School Studio,Night School Studio,14,2016,9.99,Story RichChoices MatterAtmosphericSupernaturalFemale ProtagonistIndieAdventureMysteryHorrorGreat SoundtrackSingleplayerMultiple EndingsPsychological HorrorThrillerWalking SimulatorSide Scroller2.5D2DShortLovecraftian,https://store.steampowered.com/app/388880/Oxenfree/?snr=1_7_7_230_150_119
Twilight Struggle,"Single-player,Online PvP,Shared/Split Screen PvP,Cross-Platform Multiplayer,In-App Purchases,Stats",1405 87,Playdek,Playdek,104,2016,9.99,Board GamePolitical SimTabletopStrategySimulationCold WarTurn-BasedTurn-Based StrategyPoliticalMultiplayerAsynchronous MultiplayerCard Game,https://store.steampowered.com/app/406290/Twilight_Struggle/?snr=1_7_7_230_150_119
No Time,Single-player,522 97,Lost in Days Studio,Lost in Days Studio,104,2019,10.99,SimulationIndieActionTime TravelAdventureEarly AccessTime ManipulationSci-fiFirst-PersonAction-AdventureStory RichFlightParody EpisodicNarrationOpen WorldSandboxExperimentalAutomobile SimHorror,https://store.steampowered.com/app/1043340/No_Time/?snr=1_7_7_230_150_119
Mini Metro,"Single-player,Steam Cloud,Steam Leaderboards",6818 96,Dinosaur Polo Club,Dinosaur Polo Club,310,2015,9.99,StrategyPuzzleMinimalistSimulationIndieTrainsSingleplayerCasualManagementRelaxing2DTouch-FriendlyTransportationBuildingDifficultMouse onlyGreat SoundtrackAddictiveReplay ValueTop-Down,https://store.steampowered.com/app/287980/Mini_Metro/?snr=1_7_7_230_150_119
"Warhammer® 40,000: Dawn of War® – Winter Assault",Single-player,787 91,Relic Entertainment,SEGA,1,2006,Check store page,StrategyWarhammer 40KRTSSci-fiGames WorkshopBase BuildingSingleplayerReal-TimeMultiplayerTacticalFuturisticWarActionClassic,https://store.steampowered.com/app/9310/Warhammer_40000_Dawn_of_War__Winter_Assault/?snr=1_7_7_230_150_119
Lucius,"Single-player,Steam Cloud",5352 79,Shiver Games,Shiver Games,300,2012,9.99,HorrorAdventureVillain ProtagonistNudityGoreIndieSingleplayerPuzzleThird PersonActionStealthDarkPsychological HorrorMatureAtmosphericViolentDifficultStory RichPoint & ClickFunny,https://store.steampowered.com/app/218640/Lucius/?snr=1_7_7_230_150_119
Prince of Persia: The Forgotten Sands™,Single-player,979 68,Ubisoft Montreal,Ubisoft,159,2010,9.99,ActionAdventurePlatformerParkourThird PersonSingleplayerFantasyHack and Slash,https://store.steampowered.com/app/33320/Prince_of_Persia_The_Forgotten_Sands/?snr=1_7_7_230_150_119
Super Seducer 2 - Advanced Seduction Tactics,Single-player,806 82,RLR Training Inc,,256,2018,12.99,Sexual ContentSimulationMatureMemesCasualNudityAdventureFMVDating SimFunnySurvival HorrorComedyFemale ProtagonistSingleplayerGore,https://store.steampowered.com/app/863570/Super_Seducer_2__Advanced_Seduction_Tactics/?snr=1_7_7_230_150_119
Jets'n'Guns 2,"Single-player,Shared/Split Screen Co-op,Steam Cloud,Steam Leaderboards",688 95,Rake in Grass,Rake in Grass,206,2020,14.99,ActionIndieShoot 'Em UpGreat SoundtrackBullet HellSide ScrollerColorfulEarly Access2DViolentWarDifficult,https://store.steampowered.com/app/830820/JetsnGuns_2/?snr=1_7_7_230_150_119
Misao: Definitive Edition,Single-player,701 97,sen,PLAYISM,298,2017,4.99,HorrorIndieRPGMakerAnimeAdventureCasualPixel Graphics2DPsychological HorrorSingleplayerViolentDarkAtmosphericBloodPsychologicalGreat SoundtrackCult ClassicSurrealFemale ProtagonistDystopian ,https://store.steampowered.com/app/691450/Misao_Definitive_Edition/?snr=1_7_7_230_150_120
Kingdom Come: Deliverance – From the Ashes,"Single-player,Downloadable Content,Steam Cloud",829 65,Warhorse Studios,Warhorse Studios,186,2018,5.99,RPGActionAdventureMedievalOpen WorldStory RichBuildingRealisticSingleplayerChoose Your Own AdventureChoices MatterFirst-PersonHistorical,https://store.steampowered.com/app/883150/Kingdom_Come_Deliverance__From_the_Ashes/?snr=1_7_7_230_150_120
Zeus + Poseidon,Single-player,660 94,Impressions Games,Activision,350,2016,9.99,StrategyCity BuilderColony SimMythologyClassicSingleplayerHistoricalSimulation,https://store.steampowered.com/app/566050/Zeus__Poseidon/?snr=1_7_7_230_150_120
Fallout New Vegas: Old World Blues,"Single-player,Downloadable Content,Steam Cloud,Steam Leaderboards",910 89,Obsidian Entertainment,Bethesda Softworks,199,2011,4.99,ActionRPGPost-apocalypticComedySci-fiOpen WorldFunny,https://store.steampowered.com/app/72750/Fallout_New_Vegas_Old_World_Blues/?snr=1_7_7_230_150_120
STAR WARS™ Episode I Racer,Single-player,965 88,LucasArts,Lucasfilm,137,1999,9.99,RacingActionClassicMultiplayerSci-fiSingleplayerGreat SoundtrackArcade,https://store.steampowered.com/app/808910/STAR_WARS_Episode_I_Racer/?snr=1_7_7_230_150_120
Chrono Ark,"Single-player,Steam Cloud",1756 89,Al Fine,Al Fine,353,2019,Check store page,Roguelike DeckbuilderRPGStrategyIndieAdventureRogueliteAnimeEarly AccessCard GameParty-Based RPGCard BattlerDifficultRoguelikeFemale Protagonist,https://store.steampowered.com/app/1188930/Chrono_Ark/?snr=1_7_7_230_150_120
